,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
10323,XM_026442830.1,0.857464705,0.947028059,-0.049988657,0.278329529,5.544480695,0.211956037,0.044698047,0.187703934,0.106382604,0.187703934
10324,XM_003251603.3,0.857579409,0.947042119,-0.029250571,0.162995488,8.312315001,0.072690242,0.005860525,0.073842062,0.050542956,0.073842062
10325,XM_026446333.1,0.857892022,0.9471931,0.018922666,0.10567887,10.9284067,0.030555901,0.001004663,0.032499407,0.013064144,0.032499407
10326,XM_006564456.3,0.858214606,0.9471931,-0.011017169,0.061669924,12.81452983,0.010405411,0.000293319,0.01111622,0.01100281,0.01111622
10327,XR_001704523.2,0.858168104,0.9471931,0.040441743,0.226302485,5.464480172,0.11898371,0.044636511,0.08575491,0.109001933,0.109001933
10328,XM_026444022.1,0.858035694,0.9471931,-0.010973503,0.061347259,11.65889328,0.004339445,0.000667488,0.004069776,0.010622971,0.010622971
10329,XM_026445909.1,0.858028606,0.9471931,0.096756069,0.540886523,3.572389002,0.800439284,0.247105932,0.630568759,0.201867432,0.630568759
10330,XM_026439672.1,0.858124748,0.9471931,-0.011635287,0.065088219,11.18542734,0.002828624,0.000892614,0.002178258,0.011816814,0.011816814
10331,XM_003250236.3,0.85842915,0.947249363,-0.012999915,0.072880037,10.69774637,0.009853445,0.001321598,0.009466492,0.014612901,0.014612901
10332,XM_026445452.1,0.858541605,0.947249363,-0.030417382,0.17066274,10.29224625,0.079686252,0.001779862,0.085597451,0.018081345,0.085597451
